edge_slice_demand;k_1= (3,12,3);k_2= (3,5,3);k_3= (12,14,3);k_4= (5,14,3);k_5= (3,17,3);k_6= (14,17,3);k_7= (3,13,3);k_8= (13,14,3);k_9= (2,12,3);k_10= (2,5,5);k_11= (3,6,3);k_12= (4,17,3);k_13= (5,16,3);k_14= (5,8,3);k_15= (6,14,3);k_16= (2,17,3);k_17= (4,12,5);k_18= (4,12,3);k_19= (14,15,5);k_20= (14,15,5);k_21= (4,5,5);k_22= (4,13,3);k_23= (4,10,3);k_24= (4,9,3);k_25= (5,10,5);k_26= (2,13,3);k_27= (4,8,3);k_28= (1,15,3);k_29= (7,10,3);k_30= (4,15,5);k_31= (4,15,5);k_32= (4,15,5);k_33= (2,6,3);k_34= (4,16,3);k_35= (7,8,3);k_36= (2,15,5);k_37= (2,15,5);k_38= (2,15,5);k_39= (2,15,5);k_40= (7,17,3);k_41= (12,16,3);k_42= (8,12,3);k_43= (3,10,3);k_44= (7,16,5);k_45= (7,12,3);k_46= (5,7,5);k_47= (4,6,3);k_48= (10,14,3);k_49= (7,13,3);k_50= (3,8,3);k_51= (4,14,3);k_52= (16,17,3);k_53= (10,12,6);k_54= (6,10,3);k_55= (3,15,6);k_56= (3,16,3);k_57= (5,15,6);k_58= (7,14,3);k_59= (5,13,3);k_60= (14,16,3);k_61= (7,15,6);k_62= (7,15,6);k_63= (7,15,6);k_64= (13,16,3);k_65= (8,13,3);k_66= (10,17,3);k_67= (2,10,5);k_68= (5,17,3);k_69= (11,15,3);k_70= (3,4,3);k_71= (6,13,3);k_72= (2,4,5);k_73= (6,7,6);k_74= (15,16,6);k_75= (10,13,3);k_76= (2,8,3);k_77= (6,17,3);k_78= (8,15,5);k_79= (2,7,5);k_80= (5,12,3);k_81= (2,16,3);k_82= (9,15,3);k_83= (12,15,6);k_84= (12,15,5);k_85= (6,15,6);k_86= (6,15,3);k_87= (10,15,6);k_88= (10,15,6);k_89= (10,15,6);k_90= (6,12,3);k_91= (3,7,3);k_92= (5,6,5);k_93= (4,7,6);k_94= (2,3,3);k_95= (1,14,3);k_96= (5,11,3);k_97= (15,17,6);k_98= (15,17,6);k_99= (15,17,6);k_100= (15,17,6);k_101= (15,17,6);k_102= (15,17,6);k_103= (12,13,5);k_104= (2,14,5);k_105= (3,14,3);k_106= (10,16,3);k_107= (13,15,6);k_108= (12,17,3);k_109= (8,10,3);k_110= (13,17,3);k_111= (8,16,3);k_112= (9,14,3);
[1,14]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,14]; ; ; ;1; ;1; ;1; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;
[3,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[3,4];1;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,7];1;1; ; ; ; ; ; ; ; ;1;1; ; ; ;1;1;1; ; ;1;1; ; ; ;1; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,7]; ; ; ;1;1;1; ;1; ;1; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1;1;1;1;1; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,15]; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ;1; ; ;1;1;1;1; ; ; ;1; ; ; ;1;1;1; ; ; ;1;1;1;1; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,7];1;1; ;1; ; ; ; ; ;1;1;1; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
